Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1984","1984","1000 USD","1281818.69","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1984","1984","1000 USD","2887809.96","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1985","1985","1000 USD","1178243","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1985","1985","1000 USD","2395623","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1986","1986","1000 USD","1017265","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1986","1986","1000 USD","1904996","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1987","1987","1000 USD","1133217","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1987","1987","1000 USD","2333435","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1988","1988","1000 USD","1478925","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1988","1988","1000 USD","2893165","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1989","1989","1000 USD","1641574","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1989","1989","1000 USD","2994376","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1990","1990","1000 USD","1686477","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1990","1990","1000 USD","2918015","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1991","1991","1000 USD","1917120","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1991","1991","1000 USD","3103997","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1992","1992","1000 USD","2040868","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1992","1992","1000 USD","3569380","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1993","1993","1000 USD","2167256","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1993","1993","1000 USD","3730054","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1994","1994","1000 USD","2457008","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1994","1994","1000 USD","5004484","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1995","1995","1000 USD","2930321","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1995","1995","1000 USD","6108679","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1996","1996","1000 USD","3249158","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1996","1996","1000 USD","5803000","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1997","1997","1000 USD","3381054","E","Estimated value",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1997","1997","1000 USD","5664184","E","Estimated value",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1998","1998","1000 USD","2618633","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1998","1998","1000 USD","6319872","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","1999","1999","1000 USD","2863676","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","1999","1999","1000 USD","5699342","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2000","2000","1000 USD","2934865.35","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2000","2000","1000 USD","4400897.21","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2001","2001","1000 USD","3188111.36","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2001","2001","1000 USD","4339361.5","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2002","2002","1000 USD","3400587.43","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2002","2002","1000 USD","5883955.44","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2003","2003","1000 USD","3489016.07","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2003","2003","1000 USD","7663660.49","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2004","2004","1000 USD","4672127","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2004","2004","1000 USD","8397913","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2005","2005","1000 USD","4731994","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2005","2005","1000 USD","8131776","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2006","2006","1000 USD","5620467","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2006","2006","1000 USD","9310129","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2007","2007","1000 USD","7120555","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2007","2007","1000 USD","13829211","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2008","2008","1000 USD","9332209","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2008","2008","1000 USD","20393087","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2009","2009","1000 USD","8197314","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2009","2009","1000 USD","15578204","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2010","2010","1000 USD","10821284","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2010","2010","1000 USD","20896106","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2011","2011","1000 USD","14117988","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2011","2011","1000 USD","28321523","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2012","2012","1000 USD","13649800","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2012","2012","1000 USD","25170097","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2013","2013","1000 USD","12595967.12","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2013","2013","1000 USD","21963947.39","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2014","2014","1000 USD","13181564.3","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2014","2014","1000 USD","22651489.92","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2015","2015","1000 USD","12688226.83","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5922","Export value","F1982","Food Excluding Fish","2015","2015","1000 USD","19009242.62","A","Official figure",""
"TCL","Crops and livestock products","458","Malaysia","5622","Import value","F1982","Food Excluding Fish","2016","2016","1000 USD","12027289.52","A","Official figure",""
